## RECSRecommendations Upload File
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.
## RECS
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.
## RECSentity.id,entity.name,entity.pageUrl,entity.imageUrl,entity.entityType,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,entity.custom11,entity.custom12,entity.custom13,entity.custom14,entity.custom15,entity.custom16,entity.custom17,entity.custom18,entity.custom19
cat-carros-eletricos,Carros elétricos,https://www.webmotors.com.br/carros-eletricos,https://catalogo.webmotors.com.br/imagens/prod/fotos-temas/CardDesktop/cdb35e13-66a2-4653-8414-f41f408e34da_CardDesktop.webp?s=fill&w=274&h=216&q=70,category,,,,,,,,,,,,,,
cat-hatches,Hatches,https://www.webmotors.com.br/hatches,https://catalogo.webmotors.com.br/imagens/prod/fotos-temas/CardDesktop/980c1c63-9e76-490e-b460-af82933530ae_CardDesktop.jpg?s=fill&w=274&h=216&q=70,category,,,,,,,,,,,,,,
cat-picapes,Picapes,https://www.webmotors.com.br/picapes,https://catalogo.webmotors.com.br/imagens/prod/fotos-temas/CardDesktop/2e948af3-f8a6-41e0-a8da-594248b7c4bc_CardDesktop.webp?s=fill&w=274&h=216&q=70,category,,,,,,,,,,,,,,
cat-sedans,Sedans,https://www.webmotors.com.br/sedans,https://catalogo.webmotors.com.br/imagens/prod/fotos-temas/CardDesktop/0c5460ff-9f6d-4835-8f93-68e7b8360098_CardDesktop.webp?s=fill&w=274&h=216&q=70,category,,,,,,,,,,,,,,
cat-suvs,SUVs,https://www.webmotors.com.br/suvs,https://catalogo.webmotors.com.br/imagens/prod/fotos-temas/CardDesktop/e0bacaf7-e920-42c0-98e5-8557cbb806ea_CardDesktop.webp?s=fill&w=274&h=216&q=70,category,,,,,,,,,,,,,,
cat-carros-economicos,Carros econômicos,https://www.webmotors.com.br/carros-economicos,https://catalogo.webmotors.com.br/imagens/prod/fotos-temas/CardDesktop/2393ed64-e935-43ec-a4e7-eb688c4760ca_CardDesktop.jpg?s=fill&w=274&h=216&q=70,category,,,,,,,,,,,,,,
cat-carros-para-familia,Carros para família,https://www.webmotors.com.br/carros-para-familia,https://catalogo.webmotors.com.br/imagens/prod/fotos-temas/CardDesktop/fda817cf-1d84-49c0-8db4-aa028e731bd6_CardDesktop.jpg?s=fill&w=274&h=216&q=70,category,,,,,,,,,,,,,,
cat-carros-a-diesel,Carros a diesel,https://www.webmotors.com.br/carros-a-diesel,https://catalogo.webmotors.com.br/imagens/prod/fotos-temas/CardDesktop/7529b723-6701-4b1f-809c-139f972b707f_CardDesktop.jpg?s=fill&w=274&h=216&q=70,category,,,,,,,,,,,,,,
cat-carros-esportivos,Carros esportivos,https://www.webmotors.com.br/carros-esportivos,https://www.webmotors.com.br/imagens/prod/fotos-temas/CardDesktop/b1a79a3f-86c3-479f-9c7f-3d5c479863ab_CardDesktop.webp?s=fill&w=274&h=216&q=70,category,,,,,,,,,,,,,,
cat-carros-de-luxo,Carros de luxo,https://www.webmotors.com.br/carros-de-luxo,https://catalogo.webmotors.com.br/imagens/prod/fotos-temas/CardDesktop/2a646b96-e989-4e26-854d-84f579bdf0f4_CardDesktop.jpg?s=fill&w=274&h=216&q=70,category,,,,,,,,,,,,,,
